protein_id,role,url,http_status,content_length_bytes,downloaded_bytes,sha256_archive,download_duration_s,extraction_status,qc_passed,n_residues,n_retained_frames_per_rep,min_ca_ca_bond_nm,max_ca_ca_bond_nm,processed_npz_path,processed_npz_bytes,processed_npz_sha256
1bxy_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/1bxy_A,200,142506129,142506129,d61d26e02a203c5413c4545144a1b2670303c964bb16c6b007ed5b0bbaa8dc35,35.59,SUCCESS,True,60,951,0.3583,0.4102,data/final_novelty/processed/1bxy_A_ca_canonical.npz,1499983,54c0fbb6f4d65c62c66c4c234aeccadac61c97173e1168374dc481b4e6569b74
4xo1_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/4xo1_A,200,140573777,140573777,8980af37f9c07a0a71f7dc0527e036e8e03ae2c689977e2803c052ea7ac4b7a0,35.91,SUCCESS,True,60,951,0.3561,0.4083,data/final_novelty/processed/4xo1_A_ca_canonical.npz,1567143,fdff4cfb7d4de91935bc34a6bba77b2496425ebb8acb7d684347cd38f9a3a920
1i2t_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/1i2t_A,200,137041992,137041992,ac158e4748ab6fe6052b8d3f623f975fd0b4e4eb5a47ff7aa90fa27917fb52c3,29.2,SUCCESS,True,61,951,0.3582,0.4143,data/final_novelty/processed/1i2t_A_ca_canonical.npz,1529565,44bb18d3167110b52a85be992d4847f4f88389bfdc25a3e536535e0a4d31634d
1l2p_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/1l2p_A,200,145009698,145009698,ad28deaf5e0bf24f740c8309d99096b74cc077384f0e06334db69b7aee226350,52.52,SUCCESS,True,61,951,0.3584,0.4093,data/final_novelty/processed/1l2p_A_ca_canonical.npz,1661891,c0b7d5f35c0aa6c8b33b7945a583887daefc7f80f824392147c7933370160ad4
1uoy_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/1uoy_A,200,121217207,121217207,3ef8a0d24d7be29c5de7545a02a1424f20ff45b7005b769140dec953cf616518,29.2,SUCCESS,True,64,951,0.3594,0.4085,data/final_novelty/processed/1uoy_A_ca_canonical.npz,1588516,581beec5f6c531920e6af5b34cd57643d5516be8e83bf7ad5b227ef7fdced8de
1yu5_X,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/1yu5_X,200,152981132,152981132,30aec179e01bfe6a034056ff7ba1a235b696e67ed02b62b0d1fd1f8cb7c2716a,74.22,SUCCESS,True,67,951,0.3583,0.4115,data/final_novelty/processed/1yu5_X_ca_canonical.npz,1697357,0e4aa6e8c6d5b649523e37991cede8d877baab13909bb3c7e5b3035c59013085
2yzt_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/2yzt_A,200,153160464,153160464,d0974ab7b05c2066ab14f4468c43408f966345ec49450a9a287c9065a72148db,43.96,SUCCESS,True,67,951,0.3581,0.4083,data/final_novelty/processed/2yzt_A_ca_canonical.npz,1721584,91a4bef2a2c74088a52b283538a54af83d8f75a3e74481bb36fca09f08261bd3
6l34_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/6l34_A,200,161674911,161674911,bc902c2eaec2118dd79e286c1e5263879d33fd1ad5511fddb3f0671a7e7c5a37,36.33,SUCCESS,True,68,951,0.3588,0.4083,data/final_novelty/processed/6l34_A_ca_canonical.npz,1747036,e1852b43875b9f932b521678a0fc11b60b8da6e67540c4eb9af8f1b5c0fd5892
4zmk_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/4zmk_A,200,153531103,153531103,103b5fcf29d69b171a3ff6888852da1fbc35ecd021bfc7cfa3279fb426c6afb7,32.5,SUCCESS,True,71,951,0.354,0.4152,data/final_novelty/processed/4zmk_A_ca_canonical.npz,1811779,fd1ef0a5f6d3e2781f2852c731bd91760c8ed10e2b44dfe542152fc9a4ab7466
1vcc_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/1vcc_A,200,178871534,178871534,fde2436778e2548323a759c041aad5822d1c27fb5a10eb76467f4974bc215efd,40.35,SUCCESS,True,77,951,0.3555,0.4107,data/final_novelty/processed/1vcc_A_ca_canonical.npz,1945641,79dfc23835cdcae12d5c141d290299b4ed59586e234eeee6e4d00a5c291ce595
3mx7_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/3mx7_A,200,203632647,203632647,954198d8c0914d91e188570878ddf667c781be3fad050f7940611d9c30b15f54,46.41,SUCCESS,True,90,951,0.3579,0.4108,data/final_novelty/processed/3mx7_A_ca_canonical.npz,2285320,dd2e3eaf6de29955b999cd5bfdf5e5476c8ab378fc5c836e39332dba49facee3
3onj_A,reserve,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/3onj_A,200,216983546,216983546,f31f4346dcf00818153e64b759a59bf3b40d5718be7320f3ce1e62a531a295f2,68.59,SUCCESS,True,97,951,0.359,0.4091,data/final_novelty/processed/3onj_A_ca_canonical.npz,2490717,94b2623034d007f3961c7549ee5a26c00b5feaadf51a1123d2818d7b154441f4
6jv8_A,primary,https://www.dsimb.inserm.fr/ATLAS/api/ATLAS/protein/6jv8_A,200,176125792,176125792,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,37.1,SUCCESS,True,76,951,0.3582,0.4093,data/final_novelty/processed/6jv8_A_ca_canonical.npz,1922313,2d4fab627bbba499531794b621fbd55b1b2f3d89d5d2baff665f7ceafe91efef
